Date Published,Publication,Headline,Meta Description,Link
2025-08-11,Reuters,Trump wants to evict homeless from Washington,"The Reuters Tariff Watch newsletter is your daily guide to the latest global trade and tariff news. Sign up here. Reporting by Bo Erickson, Nandita Bose and Idrees Ali in Washington; Editing by Matthew Lewis and Clarence Fernandez Our Standards: The Thomson Reuters Trust Principles.
, opens new tab Thomson Reuters National security correspondent focusing on the Pentagon in Washington D.C. Reports on U.S. military activity and operations throughout the world and the impact that they have. Has reported from over two dozen countries to include Iraq, Afghanistan, and much of the Middle East, Asia and Europe. From Karachi, Pakistan.",https://www.reuters.com/world/us/trump-vows-evict-homeless-washington-official-says-national-guard-may-be-2025-08-10/
2025-08-08,Reuters,UK homelessness minister resigns over rent hike claims,"The Reuters Daily Briefing newsletter provides all the news you need to start your day. Sign up here. Reporting by Sachin Ravikumar; Editing by Daniel Wallis Our Standards: The Thomson Reuters Trust Principles.
, opens new tab Thomson Reuters Sachin Ravikumar is a correspondent for Reuters in London covering general news from across the UK. Over nine years at Reuters, he has helped run various breaking news teams, reported on business and general news from India and worked as a desk editor.",https://www.reuters.com/world/uk/uk-homelessness-minister-resigns-over-rent-hike-claims-2025-08-07/
